Name,RA,DEC,ALLWISE
AWI000592t,17:51:20.20,-06:44:47.5,J175120.20-064447.5
AWI000592u,17:51:22.62,-00:18:45.4,J175122.62-001845.4
AWI000593x,17:52:56.12,-04:49:45.2,J175256.12-044945.2
AWI0005kar,17:53:31.77,-07:29:47.3,J175331.77-072947.3
AWI000594w,17:54:24.92,-03:26:37.9,J175424.92-032637.9
AWI0005kez,17:56:49.61,-09:21:07.3,J175649.61-092107.3
AWI000596t,17:58:24.68,+04:09:05.2,J175824.68+040905.2
AWI0005kh3,17:58:30.56,-07:44:46.2,J175830.56-074446.2
AWI0005kht,17:59:15.82,-07:43:55.1,J175915.82-074355.1
AWI0005979,17:59:26.80,-00:50:26.2,J175926.80-005026.2
AWI0002l7c,18:00:35.10,-09:51:00.1,J180035.10-095100.1
AWI0005kj8,18:00:35.64,-08:38:32.2,J180035.64-083832.2
AWI0005kjf,18:00:44.74,-05:03:09.7,J180044.74-050309.7
AWI000598c,18:01:07.50,+03:33:01.9,J180107.50+033301.9
AWI0005kla,18:02:25.11,-04:14:00.3,J180225.11-041400.3
AWI0005klb,18:02:26.40,-02:42:43.7,J180226.40-024243.7
AWI0002l9w,18:02:33.93,-08:12:57.7,J180233.93-081257.7
AWI0005klh,18:02:36.91,-07:48:02.5,J180236.91-074802.5
AWI0005klr,18:02:49.97,-05:53:10.0,J180249.97-055310.0
AWI0005klx,18:02:56.33,-05:38:36.6,J180256.33-053836.6
AWI0005km2,18:03:05.67,-05:45:04.5,J180305.67-054504.5
AWI0005km3,18:03:08.45,-06:35:31.1,J180308.45-063531.1
AWI0002lcs,18:04:21.91,-08:24:51.1,J180421.91-082451.1
AWI0005cpg,18:04:38.74,+32:41:40.5,J180438.74+324140.5
AWI0005kns,18:04:45.57,-06:09:27.6,J180445.57-060927.6
AWI0005knx,18:04:52.25,-05:09:38.3,J180452.25-050938.3
AWI0005ko6,18:05:03.59,-02:00:02.7,J180503.59-020002.7
AWI0005kod,18:05:12.64,-04:52:25.8,J180512.64-045225.8
AWI0005koq,18:05:42.91,-06:41:40.7,J180542.91-064140.7
AWI0005kor,18:05:44.36,-06:25:38.1,J180544.36-062538.1
AWI0005kow,18:05:51.63,-03:17:12.4,J180551.63-031712.4
AWI0005kp9,18:06:12.10,-03:13:02.4,J180612.10-031302.4
AWI0002lgr,18:07:13.65,-08:42:04.8,J180713.65-084204.8
AWI0005kqc,18:07:33.17,-05:05:36.0,J180733.17-050536.0
AWI0005kqh,18:07:46.79,-01:35:30.6,J180746.79-013530.6
AWI00059bb,18:08:03.10,+06:14:14.3,J180803.10+061414.3
AWI0002li2,18:08:11.77,-08:53:27.1,J180811.77-085327.1
AWI0005kqu,18:08:18.44,-04:25:51.9,J180818.44-042551.9
AWI0002lij,18:08:33.28,-05:36:46.8,J180833.28-053646.8
AWI0005krx,18:09:35.41,-03:09:18.4,J180935.41-030918.4
AWI0005kry,18:09:35.41,-03:49:44.9,J180935.41-034944.9
AWI0002a6f,18:09:40.40,-09:25:34.5,J180940.40-092534.5
AWI0002llc,18:10:31.29,-05:24:29.9,J181031.29-052429.9
AWI0005kss,18:10:33.69,-02:04:34.5,J181033.69-020434.5
AWI0002llp,18:10:46.16,-04:35:42.8,J181046.16-043542.8
AWI0005kt6,18:11:00.45,-03:24:10.3,J181100.45-032410.3
AWI0002lmh,18:11:19.47,-06:03:55.9,J181119.47-060355.9
AWI0002lms,18:11:27.89,-05:16:28.8,J181127.89-051628.8
AWI0005bqk,18:11:41.15,+26:25:56.9,J181141.15+262556.9
AWI0002lnr,18:12:10.61,-03:52:02.2,J181210.61-035202.2
AWI0002a9h,18:12:35.30,-07:54:02.1,J181235.30-075402.1
AWI0002lop,18:12:54.45,-06:01:25.8,J181254.45-060125.8
AWI00059dh,18:12:59.74,+04:20:35.2,J181259.74+042035.2
AWI0005kuk,18:13:07.10,-00:15:22.9,J181307.10-001522.9
AWI0005kuo,18:13:13.62,-01:21:29.1,J181313.62-012129.1
AWI0005kus,18:13:20.83,+00:37:24.1,J181320.83+003724.1
AWI0002lpa,18:13:21.09,-06:39:20.7,J181321.09-063920.7
AWI0005kut,18:13:23.16,-02:45:30.1,J181323.16-024530.1
AWI0002lpf,18:13:27.61,-03:23:51.7,J181327.61-032351.7
AWI0002lq9,18:14:17.27,-03:46:08.5,J181417.27-034608.5
AWI0002lqi,18:14:36.64,-04:26:41.6,J181436.64-042641.6
AWI0005kvv,18:14:44.90,-01:24:19.0,J181444.90-012419.0
AWI0005kw0,18:14:56.84,-01:23:30.0,J181456.84-012330.0
AWI0002lqy,18:14:59.62,-03:27:24.2,J181459.62-032724.2
AWI0002lr4,18:15:07.01,-03:05:06.3,J181507.01-030506.3
AWI00059et,18:16:08.03,+14:26:57.0,J181608.03+142657.0
AWI0002ls8,18:16:15.72,-04:18:17.1,J181615.72-041817.1
AWI0002lst,18:16:39.85,-02:12:57.6,J181639.85-021257.6
AWI0002lti,18:17:04.13,-02:04:22.6,J181704.13-020422.6
AWI0002af4,18:17:31.75,-07:03:50.2,J181731.75-070350.2
AWI0005kyr,18:18:02.00,+01:45:24.5,J181802.00+014524.5
AWI0005kyx,18:18:15.49,+01:30:23.3,J181815.49+013023.3
AWI0005brj,18:18:31.48,+19:16:06.5,J181831.48+191606.5
AWI0002lvk,18:18:48.32,-03:02:46.3,J181848.32-030246.3
AWI0002agm,18:18:50.65,-05:12:19.7,J181850.65-051219.7
AWI0002lw1,18:19:10.68,-04:26:32.7,J181910.68-042632.7
AWI0005kzt,18:19:18.89,-00:18:22.0,J181918.89-001822.0
AWI0002ahg,18:19:28.66,-05:03:50.7,J181928.66-050350.7
AWI0005l02,18:19:34.87,+01:11:19.1,J181934.87+011119.1
AWI0005brp,18:19:35.73,+18:39:17.2,J181935.73+183917.2
AWI0002lwl,18:19:38.34,-02:59:03.2,J181938.34-025903.2
AWI0002lwt,18:19:44.62,-01:52:07.6,J181944.62-015207.6
AWI0002ahw,18:19:45.42,-05:51:04.7,J181945.42-055104.7
AWI0001zp7,18:19:50.48,-06:44:21.0,J181950.48-064421.0
AWI0005l0a,18:19:58.67,+01:05:27.5,J181958.67+010527.5
AWI0002lxe,18:20:17.20,-02:20:19.5,J182017.20-022019.5
AWI0001zq8,18:20:26.89,-07:03:38.9,J182026.89-070338.9
AWI0002lxk,18:20:32.45,-00:36:55.7,J182032.45-003655.7
AWI0002air,18:20:41.64,-04:27:44.2,J182041.64-042744.2
AWI0001zr2,18:20:57.99,-06:31:07.5,J182057.99-063107.5
AWI0001zr8,18:21:00.90,-06:33:16.6,J182100.90-063316.6
AWI0002lyb,18:21:26.20,-00:00:21.1,J182126.20-000021.1
AWI0001l70,18:21:41.70,-09:31:44.9,J182141.70-093144.9
AWI0001l8a,18:22:13.09,-08:12:35.2,J182213.09-081235.2
AWI0002lz6,18:22:19.09,-02:52:53.2,J182219.09-025253.2
AWI0002akj,18:22:21.59,-04:11:28.7,J182221.59-041128.7
AWI0002lzb,18:22:24.61,-03:05:22.1,J182224.61-030522.1
AWI0002akv,18:22:46.61,-05:01:26.6,J182246.61-050126.6
AWI0001zty,18:22:48.65,-06:26:05.5,J182248.65-062605.5
AWI0001zu1,18:22:53.61,-05:11:53.6,J182253.61-051153.6
AWI0001la0,18:22:58.03,-08:47:26.0,J182258.03-084726.0
AWI0002lzr,18:22:58.37,-01:52:11.3,J182258.37-015211.3
AWI0001zun,18:23:18.08,-05:35:07.5,J182318.08-053507.5
AWI0001lar,18:23:18.16,-08:04:37.4,J182318.16-080437.4
AWI0002m07,18:23:21.46,-00:51:34.4,J182321.46-005134.4
AWI0001lb2,18:23:25.33,-08:11:24.3,J182325.33-081124.3
AWI0002m0f,18:23:43.02,+00:27:48.7,J182343.02+002748.7
AWI0001lc7,18:23:50.18,-06:47:25.6,J182350.18-064725.6
AWI0002amg,18:24:18.42,-03:43:08.5,J182418.42-034308.5
AWI0001zwa,18:24:22.14,-04:51:58.9,J182422.14-045158.9
AWI0002m16,18:24:28.83,+00:17:12.1,J182428.83+001712.1
AWI0002amq,18:24:39.56,-02:33:20.7,J182439.56-023320.7
AWI0002amw,18:24:55.91,-02:23:53.6,J182455.91-022353.6
AWI0002anh,18:25:40.89,-03:03:25.1,J182540.89-030325.1
AWI0002m2l,18:25:46.32,+01:29:45.7,J182546.32+012945.7
AWI0002m2m,18:25:46.72,-01:14:04.1,J182546.72-011404.1
AWI0001zy4,18:25:47.22,-04:11:17.4,J182547.22-041117.4
AWI0002m2v,18:25:57.79,-00:37:43.8,J182557.79-003743.8
AWI0001zyf,18:25:59.49,-03:39:41.0,J182559.49-033941.0
AWI0005bsf,18:25:59.73,+31:29:50.0,J182559.73+312950.0
AWI0002ans,18:26:06.71,-03:05:18.4,J182606.71-030518.4
AWI0002ao7,18:26:25.87,-02:09:42.2,J182625.87-020942.2
AWI0002m3d,18:26:33.11,-00:18:43.1,J182633.11-001843.1
AWI0002m3m,18:26:50.29,+00:30:06.8,J182650.29+003006.8
AWI0005l5e,18:27:02.92,+07:20:21.5,J182702.92+072021.5
AWI0005l5f,18:27:03.72,+05:16:43.0,J182703.72+051643.0
AWI0001zzq,18:27:05.16,-03:13:01.5,J182705.16-031301.5
AWI0001zzs,18:27:10.46,-04:10:47.5,J182710.46-041047.5
AWI0001zzw,18:27:13.99,-04:17:38.0,J182713.99-041738.0
AWI0002002,18:27:19.42,-04:10:40.8,J182719.42-041040.8
AWI000200c,18:27:26.53,-04:47:16.1,J182726.53-044716.1
AWI000200j,18:27:34.81,-04:19:21.5,J182734.81-041921.5
AWI0002m4l,18:27:49.98,+01:16:31.5,J182749.98+011631.5
AWI0002m4r,18:27:57.66,+01:02:31.8,J182757.66+010231.8
AWI0002m4y,18:28:04.53,+00:49:48.4,J182804.53+004948.4
AWI0002app,18:28:10.43,-02:27:58.5,J182810.43-022758.5
AWI0005bsu,18:28:47.92,+28:56:42.2,J182847.92+285642.2
AWI00059jy,18:28:55.87,+12:56:52.8,J182855.87+125652.8
AWI0002028,18:28:57.29,-03:02:03.1,J182857.29-030203.1
AWI0001lp3,18:29:19.98,-06:10:44.4,J182919.98-061044.4
AWI0002m6a,18:29:27.37,+01:47:20.6,J182927.37+014720.6
AWI0001lpk,18:29:32.34,-05:57:04.4,J182932.34-055704.4
AWI000203g,18:29:35.85,-03:38:12.8,J182935.85-033812.8
AWI0002aqt,18:30:08.50,-00:27:19.6,J183008.50-002719.6
AWI0002m77,18:30:10.43,+03:23:30.6,J183010.43+032330.6
AWI0001lrs,18:30:28.83,-05:18:23.6,J183028.83-051823.6
AWI0002aqz,18:30:33.16,+00:26:42.9,J183033.16+002642.9
AWI0001ls0,18:30:35.85,-03:59:06.0,J183035.85-035906.0
AWI0001lsk,18:30:50.65,-04:07:56.5,J183050.65-040756.5
AWI0001lsm,18:30:50.92,-04:48:28.9,J183050.92-044828.9
AWI0001ltf,18:31:09.14,-03:35:12.3,J183109.14-033512.3
AWI0002m7s,18:31:12.53,+04:31:21.8,J183112.53+043121.8
AWI0001lue,18:31:29.37,-03:59:31.0,J183129.37-035931.0
AWI0001luy,18:31:42.58,-03:34:34.7,J183142.58-033434.7
AWI0002as9,18:31:57.85,+00:12:54.1,J183157.85+001254.1
AWI0002m8p,18:32:15.02,+02:19:27.6,J183215.02+021927.6
AWI00020be,18:35:14.88,-01:15:42.5,J183514.88-011542.5
AWI0002mbw,18:35:40.08,+03:55:17.2,J183540.08+035517.2
AWI0002avi,18:36:28.92,+02:34:17.8,J183628.92+023417.8
AWI00020dh,18:36:38.77,-00:26:28.5,J183638.77-002628.5
AWI0002mcq,18:36:47.02,+06:20:57.3,J183647.02+062057.3
AWI0002aw5,18:37:11.13,+02:24:35.2,J183711.13+022435.2
AWI00020eq,18:37:33.09,+01:51:44.3,J183733.09+015144.3
AWI00020es,18:37:35.97,+01:04:14.1,J183735.97+010414.1
AWI0002awh,18:37:41.56,+02:09:15.3,J183741.56+020915.3
AWI0002awt,18:38:00.47,+02:44:17.6,J183800.47+024417.6
AWI0002aww,18:38:08.37,+02:18:14.3,J183808.37+021814.3
AWI00020h1,18:39:19.79,+00:52:37.2,J183919.79+005237.2
AWI00020i1,18:40:03.24,+01:07:33.9,J184003.24+010733.9
AWI0001mc6,18:40:15.27,+01:06:30.9,J184015.27+010630.9
AWI0001mdz,18:41:04.13,+01:29:49.7,J184104.13+012949.7
AWI0001me4,18:41:06.43,+00:43:18.1,J184106.43+004318.1
AWI0001me6,18:41:07.77,+01:14:26.1,J184107.77+011426.1
AWI00020jg,18:41:17.38,+02:18:46.3,J184117.38+021846.3
AWI0001mem,18:41:17.55,+00:05:31.4,J184117.55+000531.4
AWI0001mf3,18:41:38.37,+00:45:15.4,J184138.37+004515.4
AWI00020k7,18:41:46.64,+03:16:26.4,J184146.64+031626.4
AWI00020l4,18:42:44.71,+03:17:36.7,J184244.71+031736.7
AWI0001mi1,18:43:08.20,+02:16:48.3,J184308.20+021648.3
AWI0001mic,18:43:17.79,+02:16:00.3,J184317.79+021600.3
AWI00020m6,18:43:30.16,+03:02:51.2,J184330.16+030251.2
AWI00020mb,18:43:44.43,+03:09:49.9,J184344.43+030949.9
AWI0005lfs,18:44:23.49,+16:05:34.8,J184423.49+160534.8
AWI0005lfx,18:44:28.15,+12:46:48.9,J184428.15+124648.9
AWI0001mki,18:44:32.16,+02:53:31.2,J184432.16+025331.2
AWI0002mj4,18:44:44.86,+07:59:57.2,J184444.86+075957.2
AWI0001mkz,18:44:47.27,+03:15:04.6,J184447.27+031504.6
AWI0001mlf,18:45:02.54,+01:34:39.2,J184502.54+013439.2
AWI0001mlg,18:45:02.94,+01:58:30.6,J184502.94+015830.6
AWI0003ydv,18:45:36.26,-07:49:50.6,J184536.26-074950.6
AWI0003jiq,18:46:35.32,-06:14:56.7,J184635.32-061456.7
AWI0003jix,18:46:43.87,-06:03:56.8,J184643.87-060356.8
AWI0001mpc,18:46:50.98,+03:39:32.8,J184650.98+033932.8
AWI00020q4,18:47:12.81,+06:23:52.1,J184712.81+062352.1
AWI00016pi,18:47:24.31,+01:05:23.5,J184724.31+010523.5
AWI0001mqy,18:47:41.57,+04:21:31.9,J184741.57+042131.9
AWI00020qy,18:48:01.50,+06:25:58.0,J184801.50+062558.0
AWI0001mrl,18:48:08.27,+03:44:18.6,J184808.27+034418.6
AWI0005bus,18:48:10.06,+45:38:38.1,J184810.06+453838.1
AWI00020r3,18:48:10.98,+05:53:02.0,J184810.98+055302.0
AWI00020rf,18:48:18.21,+07:01:20.2,J184818.21+070120.2
AWI0001msk,18:48:30.28,+03:42:45.3,J184830.28+034245.3
AWI0004c4n,18:48:30.37,-09:48:52.8,J184830.37-094852.8
AWI0001msu,18:48:35.72,+04:55:12.0,J184835.72+045512.0
AWI00020s1,18:48:53.45,+05:43:52.4,J184853.45+054352.4
AWI0005lih,18:49:12.28,+15:38:11.2,J184912.28+153811.2
AWI00059q8,18:49:20.08,+21:29:11.5,J184920.08+212911.5
AWI00020sy,18:49:46.21,+07:40:48.6,J184946.21+074048.6
AWI00020t3,18:49:52.06,+06:23:09.9,J184952.06+062309.9
AWI00020tg,18:50:00.27,+06:21:20.5,J185000.27+062120.5
AWI00020th,18:50:05.38,+07:26:24.8,J185005.38+072624.8
AWI00020tq,18:50:21.61,+07:14:54.7,J185021.61+071454.7
AWI0001mvb,18:50:23.90,+05:49:21.6,J185023.90+054921.6
AWI0003yoh,18:50:28.51,-05:46:30.7,J185028.51-054630.7
AWI0001mvf,18:50:28.65,+05:16:47.0,J185028.65+051647.0
AWI0001mvm,18:50:36.82,+06:07:28.9,J185036.82+060728.9
AWI0001mvu,18:50:43.91,+05:07:21.3,J185043.91+050721.3
AWI00020up,18:51:19.94,+07:54:53.6,J185119.94+075453.6
AWI0001mwv,18:51:21.94,+04:45:56.2,J185121.94+044556.2
AWI00020v5,18:51:39.00,+08:40:43.7,J185139.00+084043.7
AWI0001mxi,18:51:40.66,+06:39:08.9,J185140.66+063908.9
AWI0001myc,18:52:07.27,+06:17:15.8,J185207.27+061715.8
AWI0001myd,18:52:07.39,+05:27:03.1,J185207.39+052703.1
AWI0002b6k,18:52:11.39,+10:24:22.6,J185211.39+102422.6
AWI0001myt,18:52:21.52,+06:30:12.9,J185221.52+063012.9
AWI0001myu,18:52:23.67,+05:10:29.3,J185223.67+051029.3
AWI0001mz6,18:52:36.98,+05:57:59.1,J185236.98+055759.1
AWI00020wq,18:52:53.02,+07:27:24.2,J185253.02+072724.2
AWI00020xk,18:53:24.61,+08:56:55.8,J185324.61+085655.8
AWI0004cb6,18:53:42.65,-05:57:19.6,J185342.65-055719.6
AWI0001n19,18:53:50.30,+06:26:24.6,J185350.30+062624.6
AWI00020yc,18:54:13.54,+08:55:41.2,J185413.54+085541.2
AWI0004ccb,18:54:39.65,-06:49:16.5,J185439.65-064916.5
AWI00020z3,18:54:42.90,+08:48:20.0,J185442.90+084820.0
AWI0003ywy,18:54:56.98,-03:30:35.5,J185456.98-033035.5
AWI0004ccs,18:54:57.85,-05:30:41.5,J185457.85-053041.5
AWI00020zq,18:55:13.06,+09:46:15.4,J185513.06+094615.4
AWI0004cde,18:55:38.02,-04:36:09.2,J185538.02-043609.2
AWI0001n5y,18:56:26.29,+08:07:55.9,J185626.29+080755.9
AWI0003yz6,18:56:27.75,-03:23:47.3,J185627.75-032347.3
AWI0001n63,18:56:30.94,+08:44:14.6,J185630.94+084414.6
AWI000212f,18:57:35.07,+10:15:07.5,J185735.07+101507.5
AWI00032et,18:58:04.19,-00:02:00.2,J185804.19-000200.2
AWI0001n9s,18:58:37.04,+07:55:00.9,J185837.04+075500.9
AWI00032fq,18:58:44.01,+00:17:55.4,J185844.01+001755.4
AWI0004m10,18:59:12.07,-05:36:28.1,J185912.07-053628.1
AWI000214k,18:59:24.80,+11:52:21.1,J185924.80+115221.1
AWI0001nbk,18:59:25.55,+09:15:07.8,J185925.55+091507.8
AWI0001nbx,18:59:32.81,+08:39:05.8,J185932.81+083905.8
AWI0003z49,18:59:34.35,-00:46:14.6,J185934.35-004614.6
AWI0002165,19:00:51.02,+11:53:53.5,J190051.02+115353.5
AWI0002168,19:00:53.60,+12:38:08.1,J190053.60+123808.1
AWI00059td,19:02:11.80,+29:35:49.7,J190211.80+293549.7
AWI0005lor,19:02:36.94,+22:45:36.8,J190236.94+224536.8
AWI0002bdr,19:03:03.27,+14:25:38.1,J190303.27+142538.1
AWI0003zcj,19:03:04.91,-00:52:33.8,J190304.91-005233.8
AWI0002bdw,19:03:13.43,+16:28:35.3,J190313.43+162835.3
AWI000218s,19:03:39.43,+13:26:11.2,J190339.43+132611.2
AWI0001nik,19:03:45.39,+12:30:26.1,J190345.39+123026.1
AWI0001niy,19:04:00.35,+10:38:54.2,J190400.35+103854.2
AWI0003zf6,19:04:26.84,+00:31:09.7,J190426.84+003109.7
AWI00017j2,19:05:15.63,+09:06:20.4,J190515.63+090620.4
AWI00021ap,19:05:28.51,+13:38:57.7,J190528.51+133857.7
AWI0005crw,19:06:11.33,+55:50:20.8,J190611.33+555020.8
AWI00017kt,19:06:12.84,+09:21:15.9,J190612.84+092115.9
AWI0001nnj,19:06:35.36,+13:11:59.2,J190635.36+131159.2
AWI0001nnz,19:06:47.04,+12:51:44.0,J190647.04+125144.0
AWI0003zim,19:07:06.27,+02:40:36.9,J190706.27+024036.9
AWI0001nop,19:07:09.64,+12:40:05.3,J190709.64+124005.3
AWI0004m70,19:07:22.46,-01:01:03.8,J190722.46-010103.8
AWI0002mxz,19:07:27.65,+22:09:23.3,J190727.65+220923.3
AWI0001np0,19:07:28.03,+13:48:28.6,J190728.03+134828.6
AWI0002bgi,19:08:08.65,+18:28:12.5,J190808.65+182812.5
AWI0001nqf,19:08:27.54,+14:29:53.6,J190827.54+142953.6
AWI0005lr3,19:08:40.45,+24:07:28.0,J190840.45+240728.0
AWI0002mz3,19:09:14.99,+21:27:34.6,J190914.99+212734.6
AWI0002bh4,19:09:19.61,+18:14:14.3,J190919.61+181414.3
AWI0003zna,19:10:22.32,+04:38:42.7,J191022.32+043842.7
AWI0001nt7,19:10:38.90,+13:39:39.6,J191038.90+133939.6
AWI0001nta,19:10:43.61,+15:32:08.0,J191043.61+153208.0
AWI0003k7p,19:10:56.89,+05:09:28.1,J191056.89+050928.1
AWI0003zo8,19:10:59.03,+04:06:12.2,J191059.03+040612.2
AWI0001nu0,19:11:09.34,+13:59:43.3,J191109.34+135943.3
AWI0002bia,19:11:25.59,+19:43:10.0,J191125.59+194310.0
AWI0001nuj,19:11:30.81,+15:03:46.0,J191130.81+150346.0
AWI00021hc,19:12:16.66,+18:26:46.9,J191216.66+182646.9
AWI00021hd,19:12:22.26,+18:20:26.7,J191222.26+182026.7
AWI0001nvf,19:12:27.65,+16:01:43.3,J191227.65+160143.3
AWI0003k99,19:12:33.55,+06:51:29.5,J191233.55+065129.5
AWI0001nvx,19:12:52.17,+14:47:11.7,J191252.17+144711.7
AWI0004mbn,19:13:24.12,+00:35:57.0,J191324.12+003557.0
AWI0002bjo,19:13:44.93,+19:38:18.1,J191344.93+193818.1
AWI0002n1h,19:13:45.21,+22:22:55.2,J191345.21+222255.2
AWI0002bjx,19:14:20.37,+20:04:33.8,J191420.37+200433.8
AWI0002bk5,19:14:33.66,+20:33:40.8,J191433.66+203340.8
AWI00021j5,19:14:37.21,+19:31:06.7,J191437.21+193106.7
AWI0002bk9,19:14:41.65,+21:15:35.0,J191441.65+211535.0
AWI00021jf,19:14:52.09,+18:41:19.3,J191452.09+184119.3
AWI0003kbp,19:15:03.47,+08:04:16.8,J191503.47+080416.8
AWI00059v8,19:15:20.61,+39:58:48.9,J191520.61+395848.9
AWI0001o0b,19:15:51.64,+17:54:12.8,J191551.64+175412.8
AWI0002n2p,19:16:24.87,+24:11:56.3,J191624.87+241156.3
AWI0003zwv,19:16:58.20,+06:53:22.7,J191658.20+065322.7
AWI0005ltf,19:17:03.19,+28:51:03.0,J191703.19+285103.0
AWI0001o26,19:17:03.88,+16:49:33.4,J191703.88+164933.4
AWI0001o27,19:17:07.46,+17:03:22.4,J191707.46+170322.4
AWI0003zxl,19:17:29.74,+07:48:14.6,J191729.74+074814.6
AWI00021ln,19:17:41.05,+20:24:57.9,J191741.05+202457.9
AWI0001o3i,19:17:58.44,+18:56:26.8,J191758.44+185626.8
AWI0003kei,19:18:06.78,+08:31:52.2,J191806.78+083152.2
AWI0001o3u,19:18:10.65,+17:58:48.3,J191810.65+175848.3
AWI0004d0u,19:18:29.26,+06:17:31.7,J191829.26+061731.7
AWI0002n3f,19:18:34.47,+24:11:45.6,J191834.47+241145.6
AWI0003zz5,19:18:43.03,+07:18:47.6,J191843.03+071847.6
AWI00021mi,19:18:51.04,+20:36:32.4,J191851.04+203632.4
AWI0002blw,19:18:56.85,+22:25:22.4,J191856.85+222522.4
AWI00021ms,19:19:12.23,+19:41:33.3,J191912.23+194133.3
AWI0003zzw,19:19:16.29,+07:17:10.3,J191916.29+071710.3
AWI0001o5o,19:19:23.96,+17:56:58.4,J191923.96+175658.4
AWI0002bm8,19:19:27.48,+22:57:37.1,J191927.48+225737.1
AWI000400k,19:19:45.59,+07:14:21.6,J191945.59+071421.6
AWI0002bmh,19:19:52.93,+22:10:40.4,J191952.93+221040.4
AWI00021nk,19:20:10.96,+21:17:23.2,J192010.96+211723.2
AWI0001o6v,19:20:12.95,+20:03:02.2,J192012.95+200302.2
AWI0004019,19:20:17.85,+08:15:30.0,J192017.85+081530.0
AWI00021nq,19:20:21.33,+21:06:51.3,J192021.33+210651.3
AWI0001o7i,19:20:33.99,+18:15:37.9,J192033.99+181537.9
AWI0002bn4,19:20:43.87,+23:18:53.3,J192043.87+231853.3
AWI0001o7s,19:20:54.72,+18:40:56.9,J192054.72+184056.9
AWI0002bn7,19:21:01.08,+23:19:34.3,J192101.08+231934.3
AWI0001o8b,19:21:16.05,+19:59:48.7,J192116.05+195948.7
AWI000184t,19:21:35.90,+16:56:41.0,J192135.90+165641.0
AWI0001o93,19:21:55.76,+18:58:24.9,J192155.76+185824.9
AWI0001o98,19:21:59.17,+20:19:50.4,J192159.17+201950.4
AWI0001o9e,19:22:06.10,+19:50:36.3,J192206.10+195036.3
AWI0004042,19:22:12.53,+09:50:47.9,J192212.53+095047.9
AWI0004mfx,19:22:26.25,+05:21:23.2,J192226.25+052123.2
AWI0003ki3,19:22:39.97,+11:04:05.9,J192239.97+110405.9
AWI00033aa,19:23:46.41,+12:14:17.9,J192346.41+121417.9
AWI00021q3,19:23:50.21,+23:29:36.6,J192350.21+232936.6
AWI0004xf6,19:24:00.79,+01:21:25.0,J192400.79+012125.0
AWI0005v2i,19:24:10.80,-03:28:10.7,J192410.80-032810.7
