designation        ,ra         ,dec        ,glon       ,glat       ,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,E_B_V_SFD
J032403.85+001407.9,51.0160758 ,0.2355312  ,182.5498222,-44.2618934,13.813,0.025    ,13.601,0.033    ,12.007,0.340    ,9.029 ,null     ,14.959   ,0.038       ,14.352   ,0.055       ,14.035   ,0.055       ,0.1879     
J052604.21-000220.9,81.5175614 ,-0.0391605 ,202.8661345,-18.9174900,13.081,0.025    ,12.720,0.026    ,11.632,0.234    ,8.833 ,null     ,14.148   ,0.030       ,13.594   ,0.022       ,13.280   ,0.038       ,0.1588     
J052756.04+001459.5,81.9835081 ,0.2498667  ,202.8358011,-18.3699353,12.541,0.023    ,12.073,0.023    ,10.932,0.152    ,8.626 ,null     ,13.887   ,0.038       ,13.271   ,0.033       ,12.983   ,0.037       ,0.1449     
J052800.30+002546.7,82.0012635 ,0.4296454  ,202.6789267,-18.2676750,14.010,0.028    ,13.488,0.034    ,11.974,0.319    ,8.859 ,null     ,15.103   ,0.056       ,14.591   ,0.055       ,14.235   ,0.089       ,0.1403     
J053207.80+001704.9,83.0325402 ,0.2847204  ,203.3336132,-17.4333110,11.621,0.023    ,11.225,0.021    ,9.354 ,0.035    ,7.927 ,0.213    ,12.772   ,0.029       ,11.970   ,0.025       ,11.715   ,0.028       ,0.2859     
J053215.59-003900.1,83.0649767 ,-0.6500514 ,204.2117382,-17.8511400,11.657,0.024    ,11.239,0.021    ,9.918 ,0.084    ,8.117 ,0.442    ,14.263   ,0.028       ,13.199   ,0.027       ,12.519   ,0.024       ,0.6206     
J053311.20+001358.5,83.2966732 ,0.2329294  ,203.5137932,-17.2262774,11.475,0.023    ,10.758,0.021    ,8.230 ,0.024    ,5.497 ,0.042    ,13.473   ,0.030       ,12.613   ,0.026       ,12.144   ,0.028       ,0.2380     
J053906.74+003722.6,84.7780946 ,0.6229572  ,203.8945417,-15.7385569,13.009,0.025    ,12.900,0.026    ,11.751,0.253    ,8.926 ,null     ,14.212   ,0.029       ,13.409   ,0.027       ,13.158   ,0.040       ,0.3531     
J072211.17+311350.8,110.5465655,31.2307887 ,187.1515805,19.7683716 ,13.893,0.026    ,13.653,0.036    ,11.811,0.276    ,9.032 ,null     ,14.728   ,0.035       ,14.322   ,0.044       ,14.128   ,0.056       ,0.0763     
J072341.20+311421.8,110.9216701,31.2393961 ,187.2615250,20.0721123 ,14.642,0.031    ,14.485,0.053    ,11.633,0.243    ,9.083 ,null     ,15.595   ,0.064       ,14.986   ,0.086       ,14.765   ,0.123       ,0.0733     
J072647.45+393859.8,111.6977108,39.6499565 ,178.8916933,23.3438545 ,14.305,0.028    ,14.097,0.042    ,12.053,0.330    ,8.194 ,null     ,15.501   ,0.064       ,14.758   ,0.070       ,14.434   ,0.073       ,0.0626     
