SpType,U,B,V,Rc,Ic,J,H,Ks
B6V,-42.02953263,-41.52553263,-41.38553263,-41.32353263,-41.24053263,-41.11353263,-41.03253263,-41.02553263
B7V,-41.84328677,-41.38428677,-41.25628677,-41.19828677,-41.12328677,-41.01728677,-40.94028677,-40.93628677
B8V,-41.58817776,-41.22417776,-41.11517776,-41.06717776,-41.00717776,-40.92917776,-40.86217776,-40.86517776
B9V,-41.01496847,-40.81496847,-40.74496847,-40.71696847,-40.68396847,-40.65896847,-40.60896847,-40.62496847
B9.5V,-40.84410051,-40.71410051,-40.66410051,-40.64710051,-40.62910051,-40.63710051,-40.59310051,-40.61410051
A0V,-40.52891128,-40.52391128,-40.52391128,-40.52491128,-40.52791128,-40.56791128,-40.53591128,-40.56391128
A1V,-40.31349273,-40.34649273,-40.38949273,-40.40849273,-40.43349273,-40.48249273,-40.45849273,-40.48949273
A2V,-40.14531158,-40.20831158,-40.28231158,-40.32431158,-40.37331158,-40.44831158,-40.43831158,-40.47231158
A3V,-40.00166242,-40.07866242,-40.16866242,-40.21866242,-40.27666242,-40.36666242,-40.36466242,-40.39866242
A4V,-39.79863406,-39.89563406,-40.03563406,-40.11363406,-40.19963406,-40.32663406,-40.34863406,-40.38563406
A5V,-39.69563406,-39.79563406,-39.95563406,-40.04463406,-40.14163406,-40.28663406,-40.31763406,-40.35563406
A6V,-39.64885616,-39.74685616,-39.91685616,-40.01085616,-40.11385616,-40.27285616,-40.30885616,-40.34685616
A7V,-39.51607799,-39.60707799,-39.81707799,-39.93407799,-40.05907799,-40.25207799,-40.30707799,-40.34707799
A8V,-39.32424983,-39.40624983,-39.65624983,-39.79624983,-39.94424983,-40.16924983,-40.24424983,-40.28624983
